wallet,total_txns,unique_actions,total_amount,total_deposit,total_borrow,total_repay,total_redeem,total_liquidations,days_active,repay_ratio,deposit_redeem_ratio
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,1,97000000000.0,97000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x002775390698ef16589bb22bba37ae7906ae2f36,30,4,152793211818964.84,81389771485949.8,68201720166501.7,3201720166501.6978,11.640428,0,21,0.046944859435880774,6991991315607.106
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,1,1.880888,1.880888,0.0,0.0,0.0,0,1,0.0,0.0
0x0027f7335d610f15b325baa5798414548720fcaa,13,4,200552774659.90927,200552767521.7745,1518.99297,1519.063995,4100.077779,0,2,1.00004675795175,48914381.221979864
0x00283b611db7844cb5677b311afd67c8e3078518,1,1,7.200645,7.200645,0.0,0.0,0.0,0,1,0.0,0.0
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,1,47200000000.0,47200000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,1,2600000000000.0,2600000000000.0,0.0,0.0,0.0,0,4,0.0,0.0
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,1,1.107978,1.107978,0.0,0.0,0.0,0,1,0.0,0.0
0x002aea16059a7d4bef638a03b61a9e80ef07e745,41,4,4560444124213381.0,1430619659525877.2,674381785819342.0,15.406926,2455442678868147.0,0,83,2.284599958654179e-14,0.5826320735718951
0x002bb13a55bf4525f02717708dd4534ecc475193,2,1,3.1451770000000003,3.1451770000000003,0.0,0.0,0.0,0,1,0.0,0.0
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,1,1.15122,1.15122,0.0,0.0,0.0,0,1,0.0,0.0
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,5,4,1000000000015.7205,1000000000005.1339,2.726309,2.726309,5.133916,0,19,1.0,194783085661.14713
0x002d2715b179d0db3e17cc28317a98f2f65e6884,253,4,1.6011789133329382e+17,7.932648299989011e+16,3.342662489293028e+16,8000894335516522.0,3.93638891049569e+16,0,102,0.23935693062474603,2.015209492852192
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1,1,4674990964.187967,4674990964.187967,0.0,0.0,0.0,0,1,0.0,0.0
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,29,4,1.5200000000007884e+16,1.52000000000005e+16,4500.0,1380.602617,1503.137603,0,129,0.30680058155555556,10112181326356.254
0x002de04d579930686698abab5f48bda0b24fb9fc,85,4,9579371025942374.0,9561601228095396.0,42533.281825,42583.466717999996,17769797761859.953,0,81,1.0011798970323165,538.0816009407746
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,4,4,4.7914e+16,2.1457e+16,2500000000000000.0,2500000000000000.0,2.1457e+16,0,1,1.0,1.0
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,6,2,85081632513345.2,15.0,0.0,0.0,85081632513330.2,0,72,0.0,1.7630127157762127e-13
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1,1,0.012183,0.012183,0.0,0.0,0.0,0,1,0.0,0.0
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,108,4,5781978969252052.0,3811979678649937.5,150000000002912.5,2509.9691059999996,1819999290596693.0,0,106,1.673312737300843e-11,2.094495145325121
0x0030040e8d836ac3e546c354f9b373e70a14deeb,2,1,44842.195767,0.0,0.0,0.0,44842.195767,0,1,0.0,0.0
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,58,2,1.4597786848117418e+16,9647786848111268.0,4950000000006150.0,0.0,0.0,0,41,0.0,0.0
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1,1,6764030347.976762,6764030347.976762,0.0,0.0,0.0,0,1,0.0,0.0
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,3,2,394.981473,197.0,0.0,0.0,197.981473,0,34,0.0,0.9950426017893099
0x003094a91a3b5523bc601b221f80183bd347e9ae,2,1,2.2,2.2,0.0,0.0,0.0,0,6,0.0,0.0
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1,1,165694780.930095,165694780.930095,0.0,0.0,0.0,0,1,0.0,0.0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,67,4,2.9717156799590784e+17,9.44067062908613e+16,5.404812000007117e+16,5.417605170497536e+16,9.454069e+16,0,74,1.002366996389588,0.9985827931958323
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1,1,512154521.788658,512154521.788658,0.0,0.0,0.0,0,1,0.0,0.0
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,2,1,32765.593476000002,32765.593476000002,0.0,0.0,0.0,0,1,0.0,0.0
0x0030ee334630838ea4dee0b4b6ecbc973529031f,16,3,4695000000005606.0,4145000000000000.0,550000000003800.0,1806.279483,0.0,0,75,3.2841445145227643e-12,0.0
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1,1,1071184911359.4033,1071184911359.4033,0.0,0.0,0.0,0,1,0.0,0.0
0x00326e37cef76788f6b0cf643c94481d60bd3d58,2,1,30000000000000.0,30000000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
